Dato for oprettelse;Dato for afslutning;Indbetalt;Rest;Total;Antal Passagerer;Betalt til klient;Klient rest;betingelser;Jnr.;Flynr.;Fly Selskab
06/08/2018 12.30;10/09/2018 10.25;2.976,95;0;2.976,95;1;2.325,00;0;;;8001;Norwegian Air Shuttle
06/08/2018 12.42;;0;3.720,00;3.720,00;2;0;2.900,00;;98220;8002;Ryan Air Service
06/08/2018 12.43;27/09/2018 11.05;5.936,28;13,72;5.950,00;2;4.650,00;0;;;8003;DAT Danish Air Transport
06/08/2018 12.45;06/09/2018 16.07;11.924,00;0;11.924,00;4;9.300,00;0;;;8004;Scandinavian Airlines System
06/08/2018 12.46;;0;5.950,00;5.950,00;2;0;4.650,00;;97611;8005;Vueling Airlines
06/08/2018 12.56;;0;7.068,37;7.068,37;2;0;4.650,00;;96426;8006;Vueling Airlines
06/08/2018 12.59;;0;2.666,97;2.666,97;1;0;1.450,00;;96425;8007;Ryan Air Service
06/08/2018 13.12;;0;10.358,46;10.358,46;3;0;6.975,00;;96424;8008;TAP Portugal
06/08/2018 13.19;14/08/2018 16.21;0;1.860,00;1.860,00;1;0;1.450,00;;;8009;EasyJet
06/08/2018 13.50;;0;3.078,28;3.078,28;1;0;2.325,00;;97229;8010;Primera Air Scandinavia A/S
06/08/2018 14.13;;0;17.850,00;17.850,00;6;0;13.950,00;;97934;8011;Corendon Airlines
06/08/2018 14.43;;0;4.833,95;4.833,95;2;0;2.900,00;;96423;8012;Ryan Air Service
06/08/2018 14.44;;0;2.975,00;2.975,00;1;0;1.430,00;1;96192;8013;BRUSSELS AIRLINES
06/08/2018 14.54;;0;7.440,00;7.440,00;4;0;5.800,00;;98221;8014;Ryan Air Service
06/08/2018 15.02;;0;6.700,92;6.700,92;3;0;4.350,00;;96422;8015;Ryan Air Service
06/08/2018 15.11;;0;7.071,00;7.071,00;2;0;4.650,00;;96421;8016;TUI Airways
06/08/2018 15.22;11/09/2018 14.51;0;9.300,00;9.300,00;5;0;7.250,00;;;8017;EasyJet
06/08/2018 15.23;;0;2.666,97;2.666,97;1;0;1.450,00;;96420;8018;LOT Polish Airlines
06/08/2018 15.25;13/09/2018 17.54;0;1.860,00;1.860,00;1;0;1.450,00;;;8019;LOT Polish Airlines
06/08/2018 15.30;;0;5.950,00;5.950,00;2;0;4.650,00;;97534;8020;SunExpress
